State	District	Subdistt	Town/Village	Ward	EB	Level	Name	TRU	No_HH	TOT_P	TOT_M	TOT_F	P_06	M_06	F_06	P_SC	M_SC	F_SC	P_ST	M_ST	F_ST	P_LIT	M_LIT	F_LIT	P_ILL	M_ILL	F_ILL	TOT_WORK_P	TOT_WORK_M	TOT_WORK_F	MAINWORK_P	MAINWORK_M	MAINWORK_F	MAIN_CL_P	MAIN_CL_M	MAIN_CL_F	MAIN_AL_P	MAIN_AL_M	MAIN_AL_F	MAIN_HH_P	MAIN_HH_M	MAIN_HH_F	MAIN_OT_P	MAIN_OT_M	MAIN_OT_F	MARGWORK_P	MARGWORK_M	MARGWORK_F	MARG_CL_P	MARG_CL_M	MARG_CL_F	MARG_AL_P	MARG_AL_M	MARG_AL_F	MARG_HH_P	MARG_HH_M	MARG_HH_F	MARG_OT_P	MARG_OT_M	MARG_OT_F	MARGWORK_3_6_P	MARGWORK_3_6_M	MARGWORK_3_6_F	MARG_CL_3_6_P	MARG_CL_3_6_M	MARG_CL_3_6_F	MARG_AL_3_6_P	MARG_AL_3_6_M	MARG_AL_3_6_F	MARG_HH_3_6_P	MARG_HH_3_6_M	MARG_HH_3_6_F	MARG_OT_3_6_P	MARG_OT_3_6_M	MARG_OT_3_6_F	MARGWORK_0_3_P	MARGWORK_0_3_M	MARGWORK_0_3_F	MARG_CL_0_3_P	MARG_CL_0_3_M	MARG_CL_0_3_F	MARG_AL_0_3_P	MARG_AL_0_3_M	MARG_AL_0_3_F	MARG_HH_0_3_P	MARG_HH_0_3_M	MARG_HH_0_3_F	MARG_OT_0_3_P	MARG_OT_0_3_M	MARG_OT_0_3_F	NON_WORK_P	NON_WORK_M	NON_WORK_F
21	386	3050	407917	0	0	VILLAGE	Paschimadwarpatana	Rural	202	930	486	444	94	46	48	0	0	0	0	0	0	654	368	286	276	118	158	284	276	8	251	248	3	21	21	0	128	128	0	10	10	0	92	89	3	33	28	5	2	1	1	18	17	1	0	0	0	13	10	3	28	24	4	2	1	1	15	14	1	0	0	0	11	9	2	5	4	1	0	0	0	3	3	0	0	0	0	2	1	1	646	210	436
21	386	3050	407918	0	0	VILLAGE	Sadasibapurpatana	Rural	114	570	297	273	66	40	26	16	7	9	0	0	0	399	218	181	171	79	92	176	171	5	170	165	5	62	61	1	41	41	0	0	0	0	67	63	4	6	6	0	3	3	0	0	0	0	0	0	0	3	3	0	3	3	0	2	2	0	0	0	0	0	0	0	1	1	0	3	3	0	1	1	0	0	0	0	0	0	0	2	2	0	394	126	268
21	386	3050	407919	0	0	VILLAGE	Debarchan	Rural	168	801	414	387	77	35	42	4	2	2	0	0	0	642	359	283	159	55	104	263	241	22	211	205	6	69	69	0	49	48	1	14	14	0	79	74	5	52	36	16	1	0	1	5	4	1	10	10	0	36	22	14	50	34	16	1	0	1	4	3	1	10	10	0	35	21	14	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	538	173	365
21	386	3050	407920	0	0	VILLAGE	Nuapatna	Rural	50	207	108	99	20	11	9	10	4	6	0	0	0	158	89	69	49	19	30	55	52	3	23	21	2	1	1	0	1	1	0	4	3	1	17	16	1	32	31	1	8	8	0	10	10	0	2	2	0	12	11	1	12	12	0	4	4	0	3	3	0	0	0	0	5	5	0	20	19	1	4	4	0	7	7	0	2	2	0	7	6	1	152	56	96
21	386	3050	407921	0	0	VILLAGE	Gobindaprasad	Rural	154	597	309	288	49	31	18	242	126	116	265	135	130	468	247	221	129	62	67	438	225	213	153	136	17	5	4	1	77	69	8	10	7	3	61	56	5	285	89	196	5	2	3	25	6	19	15	6	9	240	75	165	144	47	97	1	1	0	10	2	8	6	1	5	127	43	84	141	42	99	4	1	3	15	4	11	9	5	4	113	32	81	159	84	75
21	386	3050	407922	0	0	VILLAGE	Buxipatana	Rural	51	246	125	121	30	21	9	47	22	25	0	0	0	198	101	97	48	24	24	74	72	2	59	58	1	28	28	0	8	8	0	9	9	0	14	13	1	15	14	1	0	0	0	6	6	0	4	4	0	5	4	1	13	12	1	0	0	0	5	5	0	3	3	0	5	4	1	2	2	0	0	0	0	1	1	0	1	1	0	0	0	0	172	53	119
21	386	3050	407923	0	0	VILLAGE	Achutapurpatana	Rural	98	484	244	240	48	24	24	64	35	29	0	0	0	312	179	133	172	65	107	112	106	6	11	8	3	0	0	0	0	0	0	1	1	0	10	7	3	101	98	3	9	9	0	45	45	0	8	8	0	39	36	3	27	25	2	4	4	0	5	5	0	5	5	0	13	11	2	74	73	1	5	5	0	40	40	0	3	3	0	26	25	1	372	138	234
21	386	3050	407924	0	0	VILLAGE	Hemantapur	Rural	82	401	215	186	62	41	21	58	31	27	0	0	0	289	156	133	112	59	53	137	122	15	61	56	5	12	12	0	6	6	0	10	10	0	33	28	5	76	66	10	14	12	2	9	9	0	12	11	1	41	34	7	69	63	6	12	11	1	8	8	0	10	10	0	39	34	5	7	3	4	2	1	1	1	1	0	2	1	1	2	0	2	264	93	171
21	386	3050	407925	0	0	VILLAGE	Barapatana	Rural	30	130	68	62	9	7	2	94	49	45	0	0	0	109	59	50	21	9	12	43	37	6	10	9	1	0	0	0	0	0	0	0	0	0	10	9	1	33	28	5	6	6	0	7	7	0	0	0	0	20	15	5	32	27	5	5	5	0	7	7	0	0	0	0	20	15	5	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	87	31	56
21	386	3050	407926	0	0	VILLAGE	Mangarajpurpatana	Rural	74	328	174	154	31	15	16	29	13	16	0	0	0	272	156	116	56	18	38	97	89	8	83	76	7	33	33	0	16	16	0	6	6	0	28	21	7	14	13	1	0	0	0	4	4	0	6	5	1	4	4	0	13	12	1	0	0	0	3	3	0	6	5	1	4	4	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	231	85	146
